Asset Name,OS,huntress,microsoft-ad,sentinelone
sc-sl-01dev2018,b'Windows Server 2019 Standard', ,microsoft-ad, 
sc-sl-01sup2011,b'Windows Server 2012 R2 Standard', ,microsoft-ad, 
sc-sl-02dev2015,b'Windows Server 2019 Standard', ,microsoft-ad, 
sc-sl-02sup2011,b'Windows Server 2012 R2 Standard', ,microsoft-ad, 
sc-sl-03dev2011,b'Windows Server 2012 R2 Standard', ,microsoft-ad, 
sc-sl-03sup2015,b'Windows Server 2016 Standard', ,microsoft-ad, 
sc-sl-04sup2015,b'Windows Server 2019 Standard', ,microsoft-ad, 
sc-sl-05sup2018,b'Windows Server 2019 Standard', ,microsoft-ad, 
sc-sl-schlhud,b'Windows Server 2019 Standard', ,microsoft-ad, 
sc-sltst2011fp1,b'Windows Server 2012 R2 Standard', ,microsoft-ad, 
sc-sltst2011rtm,b'Windows Server 2012 R2 Standard', ,microsoft-ad, 
sc-sltst2018,b'Windows Server 2019 Standard', ,microsoft-ad, 
sc-sltst2018mr,b'Windows Server 2019 Standard', ,microsoft-ad, 
sc-sql-2008r2,b'Windows Server 2012 R2 Standard', ,microsoft-ad, 
sc-sql-2012,b'Windows Server 2019 Standard', ,microsoft-ad, 
sc-sql-2014,b'Windows Server 2019 Standard', ,microsoft-ad, 
sc-sql-2016,b'Windows Server 2019 Standard', ,microsoft-ad, 
sc-sql-2017,b'Windows Server 2019 Standard', ,microsoft-ad, 
sc-sql-2019,b'Windows Server 2019 Standard', ,microsoft-ad, 
scdev-dc-01,b'Windows Server 2019 Datacenter 17763',huntress, ,sentinelone
scdev-tfs-01,b'Windows Server 2019 Datacenter 17763',huntress, ,sentinelone
scit-bkup-01,b'Windows Server 2016 Standard 14393',huntress,microsoft-ad,sentinelone
sgibson-l2,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
solis-wrk,b'Windows Server 2019 Datacenter 17763',huntress,microsoft-ad,sentinelone
solomon-dc-01,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad,sentinelone
solomon-dc-02,b'Windows Server 2022 Standard 20348',huntress,microsoft-ad,sentinelone
solomon-hhes,b'Windows Server 2012 R2 Standard 9600',huntress,microsoft-ad,sentinelone
trader-l4,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
trader04,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
